name,state,median_household_income,median_home_value
Klawock,AK,60625.0,245200.0
Klukwan,AK,,
Knik-Fairview,AK,94047.0,287000.0
Knik River,AK,75000.0,250300.0
Kobuk,AK,36250.0,131300.0
Kodiak,AK,76765.0,283000.0
Kodiak Station,AK,94205.0,
Kokhanok,AK,,118800.0
Koliganek,AK,56250.0,121600.0
Kongiganak,AK,60938.0,175000.0
Kotlik,AK,42344.0,51100.0
Kotzebue,AK,101071.0,251900.0
Koyuk,AK,35313.0,83900.0
Koyukuk,AK,22143.0,81300.0
Kupreanof,AK,,181300.0
Kwethluk,AK,43750.0,
Kwigillingok,AK,61500.0,116700.0
Lake Louise,AK,,
Lake Minchumina,AK,,
Larsen Bay,AK,77500.0,106300.0
Lazy Mountain,AK,97750.0,330200.0
Levelock,AK,,
Lime Village,AK,,
Livengood,AK,,
Loring,AK,,
Lowell Point,AK,,
Lower Kalskag,AK,33125.0,172900.0
Lutak,AK,,
McCarthy,AK,,
McGrath,AK,44250.0,83600.0
Manley Hot Springs,AK,,
